"well_name","API_WellNo","BH_FtNS","BH_Lat","BH_Long"
"2B-10","50029210840000",1481,70.289924,-149.917092
"2B-11","50029210890000",976,70.297622,-149.91727
"2F-09","50029210900000",1415,70.267611,-149.85469
"2B-12","50029210920000",3944,70.296641,-149.960924
"2F-10","50029210940000",1481,70.267431,-149.811948
"2F-11","50029210950000",595,70.259798,-149.807851
"3C-06","50029210960000",1476,70.411592,-149.772612
"2F-12","50029210970000",973,70.259713,-149.854488
"2","50029211030000",1659,70.497642,-149.821946
"2G-05","50029211190000",1130,70.268389,-149.919622
"2G-06","50029211210000",1268,70.268013,-149.896655
"2G-07","50029211240000",1097,70.260052,-149.919993
"2G-08","50029211250000",1490,70.261125,-149.894611
"2V-08A","50029211280000",1029,70.303088,-149.918765
"2D-12","50029211310000",1204,70.274761,-149.725383
"2D-11","50029211340000",1014,70.274243,-149.748414
"2D-10","50029211350000",1490,70.281819,-149.747453
"2D-09","50029211370000",1499,70.281794,-149.725068
"2B-13","50029211380000",4082,70.297017,-149.940552
"2G-09","50029211390000",1526,70.25272,-149.893775
"2G-10","50029211400000",1552,70.25265,-149.917966
"2B-14","50029211430000",4075,70.296998,-149.895491
"2B-15","50029211450000",1187,70.289122,-149.894958
"2B-16","50029211460000",1611,70.281489,-149.896203
"2B-01","50029211470000",1346,70.289556,-149.940819
"2G-11","50029211490000",1190,70.245631,-149.896029
"2G-01","50029211500000",1598,70.26142,-149.962419
"2B-03","50029211510000",4273,70.274224,-149.939582
"2B-04","50029211520000",4234,70.27433,-149.896768
"2G-02","50029211530000",1350,70.260743,-149.938273
"2B-02","50029211540000",1267,,
"1L-05","50029211550000",1064,70.282981,-149.663801
"2D-05","50029211570000",1171,70.297091,-149.74738
"2D-08","50029211580000",1364,70.289605,-149.725286
"2G-12","50029211590000",1012,70.245258,-149.9177
"2G-13","50029211600000",4113,70.24568,-149.939444
"2G-14","50029211610000",4265,70.245266,-149.961035
"2G-15","50029211620000",1398,70.253069,-149.939267
"2G-16","50029211630000",1267,70.253425,-149.960142
"1L-06","50029211640000",1500,70.281791,-149.641885
"2G-03","50029211650000",945,70.268895,-149.960827
"2G-04","50029211670000",4207,70.268545,-149.940762
"2D-06","50029211680000",1131,70.2972,-149.726038
"2D-07","50029211690000",1255,70.289308,-149.747736
"1L-07","50029211710000",1300,70.275023,-149.664626
"1L-08","50029211750000",1148,70.274608,-149.642912
"2D-04","50029211760000",1084,70.297328,-149.793782
"2D-02","50029211770000",1277,70.289368,-149.792675
"2D-03","50029211780000",1077,70.297347,-149.769248
"1L-04","50029211790000",4028,70.282468,-149.685556
"1L-03","50029211820000",3946,70.282244,-149.707189
"2D-14","50029211830000",1119,70.274529,-149.790267
"2D-15","50029211840000",1465,70.281887,-149.769482
"2D-16","50029211850000",1415,70.282023,-149.792263
"2X-09","50029211860000",972,70.31732,-149.855215
"2X-10","50029211870000",1582,70.324744,-149.856144
"2X-11","50029211880000",1337,70.332691,-149.856144
"2X-12","50029211890000",1127,70.340355,-149.854261
"1L-02","50029211930000",1215,70.274791,-149.685823
"2D-01","50029211940000",1371,70.289624,-149.769482
"2X-16","50029211950000",907,70.317143,-149.810809
"1L-01","50029211960000",1235,70.274846,-149.705185
"2X-13","50029211970000",1025,70.340632,-149.809936
"2X-14","50029211980000",1357,70.332746,-149.810559
"2X-15","50029211990000",1506,70.324951,-149.810251
"1L-16","50029212020000",1576,70.267172,-149.708967
"1L-15","50029212040000",1341,70.267813,-149.686227
"1L-14XX","50029212059500",4130,,
"2E-15","50029212060000",1329,70.260685,-149.772787
"2E-16","50029212070000",1099,70.268474,-149.770258
"2W-05","50029212080000",1076,70.346554,-149.880229
