"well_name","ReportDate","WellType","Vol_Liq","Vol_Gas"
M-01,1999-07-01 00:00:00.000,"4",0,0
M-01,1998-08-01 00:00:00.000,"4",0,0
M-01,1991-07-01 00:00:00.000,"4",0,0
M-01,2000-05-01 00:00:00.000,"4",0,0
M-01,1992-05-01 00:00:00.000,"4",0,0
M-01,1995-04-01 00:00:00.000,"4",0,0
M-01,1988-02-01 00:00:00.000,"4",0,0
M-01,1991-10-01 00:00:00.000,"4",0,0
M-01,1985-08-01 00:00:00.000,"4",207900,0
M-01,1990-09-01 00:00:00.000,"4",0,0
M-01,1987-12-01 00:00:00.000,"4",0,0
M-01,1995-10-01 00:00:00.000,"4",0,0
M-01,1985-12-01 00:00:00.000,"4",205896,0
M-01,1990-02-01 00:00:00.000,"4",0,0
M-01,1986-09-01 00:00:00.000,"4",251926,0
M-01,1992-09-01 00:00:00.000,"4",0,0
M-01,2002-04-01 00:00:00.000,"4",0,0
M-01,1987-01-01 00:00:00.000,"4",267350,0
M-01,1999-05-01 00:00:00.000,"4",0,0
M-01,1999-03-01 00:00:00.000,"4",0,0
M-01,1988-09-01 00:00:00.000,"4",0,0
M-01,1987-07-01 00:00:00.000,"4",163885,0
M-01,2001-09-01 00:00:00.000,"4",0,0
M-01,1986-05-01 00:00:00.000,"4",229365,0
M-01,1994-05-01 00:00:00.000,"4",0,0
M-01,1994-09-01 00:00:00.000,"4",0,0
M-01,1992-11-01 00:00:00.000,"4",0,0
M-01,1993-11-01 00:00:00.000,"4",0,0
M-01,2000-09-01 00:00:00.000,"4",0,0
M-01,1984-12-01 00:00:00.000,"4",141400,0
M-01,1996-08-01 00:00:00.000,"4",0,0
M-01,1994-01-01 00:00:00.000,"4",0,0
M-01,1987-05-01 00:00:00.000,"4",233813,0
M-01,1989-01-01 00:00:00.000,"4",0,0
M-01,1988-01-01 00:00:00.000,"4",0,0
M-01,2000-08-01 00:00:00.000,"4",0,0
M-01,1990-07-01 00:00:00.000,"4",0,0
M-01,2001-10-01 00:00:00.000,"4",0,0
M-01,1995-09-01 00:00:00.000,"4",0,0
M-01,1991-11-01 00:00:00.000,"4",0,0
M-01,1990-03-01 00:00:00.000,"4",0,0
